data,#cores,run,demeter_log_runtime,demeter_log_cputime,mprof_runtime,mprof_max_mem,mprof_mean_mem
drosophila,1,0,19609.053,17813828,19634.331500053406,567.1367190000001,436.9671996845012
drosophila,1,1,19818.842,18008811,19845.80110001564,575.2460940000001,450.42218220237265
drosophila,1,2,19780.856,18004955,19806.71530008316,581.296875,450.72347089146734
drosophila,1,3,19764.761,17974054,19790.71009993553,562.890625,442.46757094555915
drosophila,1,4,19733.105,17902991,19759.12869977951,570.828125,439.4320451851034
drosophila,1,5,19817.174,18020710,19842.89210009575,564.890625,438.7549667415345
drosophila,1,6,19541.426,17778627,19567.512799978256,587.2578120000001,448.25625774308105
drosophila,1,7,19673.74,17862809,19701.452700138092,571.2109379999999,450.1104514595888
drosophila,1,8,19629.446,17819062,19654.99160003662,571.125,436.4028240462075
drosophila,1,9,19703.896,17870490,19721.116499900818,567.5195309999999,439.3268643574735
drosophila,2,0,10675.507,17945676,10694.604599952698,1099.0664060000001,825.5112167725136
drosophila,2,1,10709.866,17868592,10729.419199943542,1095.0585939999999,816.7152710164888
drosophila,2,2,10759.479,17869215,10779.204499959946,1098.8945310000001,824.8249284919838
drosophila,2,3,10885.753,17966120,10905.369699954987,1100.375,808.0718085266021
drosophila,2,4,10819.097,18026074,10838.33480000496,1075.734375,803.0513363729652
drosophila,2,5,10683.345,17826115,10701.46969985962,1082.3632810000001,806.0559844043963
drosophila,2,6,10711.737,17903386,10729.953899860382,1080.9492189999999,820.7804852272824
drosophila,2,7,10772.884,18100647,10791.258299827576,1143.640625,814.2975889103639
drosophila,2,8,10751.023,17930967,10769.063699960709,1079.1640619999998,809.676324776911
drosophila,2,9,10752.413,17959397,10769.993999958038,1077.1757810000001,815.62704354499
drosophila,4,0,6140.377,17713186,6152.763600111008,2108.527344,1422.5129639469471
drosophila,4,1,6109.827,17851005,6121.876699924469,2097.683594,1454.465664990942
drosophila,4,2,6102.815,17866450,6113.555900096893,2052.546875,1453.8983855464503
drosophila,4,3,6201.347,18074695,6212.955699920654,2115.8125,1471.6143011196853
drosophila,4,4,6322.981,17738756,6339.563600063324,2108.082031,1391.4243926110937
drosophila,4,5,6120.316,17611526,6136.771300077438,2024.15625,1417.8828491143386
drosophila,4,6,6276.065,17717237,6292.2671999931335,2026.34375,1394.1936333467263
drosophila,4,7,6208.059,17727079,6225.198100090027,2050.105469,1421.2685465161571
drosophila,4,8,5986.313,17614508,5999.6554000377655,2092.171875,1481.1821810591912
drosophila,4,9,6314.311,17936048,6325.360300064087,2098.5234379999997,1418.8917314997614
drosophila,8,0,3862.306,17801999,3873.2007999420166,3996.4414060000004,2354.2448159247656
drosophila,8,1,3787.187,18019096,3797.932100057602,4013.3632810000004,2425.2966973435937
drosophila,8,2,3829.819,17883285,3840.6663999557495,3914.710938,2359.2866537184113
drosophila,8,3,3874.932,17838127,3885.8780999183655,4072.242188,2367.336839333937
drosophila,8,4,3908.38,17764960,3918.771199941635,3944.0117189999996,2275.7352207039826
drosophila,8,5,3820.127,17636668,3830.8861000537872,4235.328125,2338.824313192697
drosophila,8,6,3735.534,17891099,3746.5300998687744,4045.914062,2404.442053920178
drosophila,8,7,3830.299,17771090,3841.1059999465942,4029.2695310000004,2349.7083229409445
drosophila,8,8,3782.281,17919949,3793.159399986267,4080.4335939999996,2388.1214295485224
drosophila,8,9,3728.294,17833271,3739.232100009918,4118.886719,2427.9047194515206
drosophila,16,0,3130.7,17585284,3141.9785001277924,7905.824219,3065.0130340270466
drosophila,16,1,2849.563,17663721,2860.842400074005,7794.46875,3299.2000078999636
drosophila,16,2,3275.245,17695170,3286.097300052643,7723.914062000001,2967.7845691905486
drosophila,16,3,3050.65,17585894,3061.8645000457764,7480.464844,3051.00246872326
drosophila,16,4,3034.072,17643637,3044.5255999565125,7612.050781,3107.764764896889
drosophila,16,5,2889.888,17699958,2900.4896998405457,7833.296875,3325.660675457112
drosophila,16,6,2918.262,17825680,2928.5369000434875,7574.222656,3251.6508125588234
drosophila,16,7,3058.955,17578980,3069.7813000679016,7599.082031,3095.318785171696
drosophila,16,8,3066.399,17744869,3077.649399995804,7744.46875,3141.669544876224
drosophila,16,9,2975.246,17751716,2986.2480001449585,7845.554687999999,3263.4697165487455
drosophila,24,0,2868.365,17415614,2879.5471999645233,11180.195312,3529.8678083519894
drosophila,24,1,2889.825,17223916,2900.2023000717163,10983.859375,3410.554586458458
drosophila,24,2,2763.704,17438938,2773.7004001140594,10970.085938,3582.5038915840396
drosophila,24,3,2933.941,17342608,2945.0609998703003,10774.140625,3273.45546030106
