,data,size,fold,cores,duration,cpu,noncpu,avemem,maxmem
0,drosophila,178770542,1,1,12209,12494.0,11924.0,3178.51 MB,6415 MB
6,drosophila,178770542,2,1,11756,12030.0,11482.0,3071.76 MB,6505 MB
12,drosophila,178770542,3,1,11725,11966.0,11484.0,3053.51 MB,6424 MB
18,drosophila,178770542,4,1,11761,12015.0,11507.0,3020.08 MB,6584 MB
24,drosophila,178770542,5,1,9890,9939.0,9841.0,3130.04 MB,6397 MB
30,drosophila,178770542,6,1,8840,10144.0,7536.0,3093.28 MB,6557 MB
36,drosophila,178770542,7,1,8508,9768.0,7248.0,3062.24 MB,6556 MB
42,drosophila,178770542,8,1,8507,9797.0,7217.0,3073.81 MB,6581 MB
48,drosophila,178770542,9,1,9609,9658.0,9560.0,3244.89 MB,6412 MB
54,drosophila,178770542,10,1,9477,9512.0,9442.0,3273.75 MB,6562 MB
1,drosophila,178770542,1,2,6044,11763.0,6369.0,5931.40 MB,12842 MB
7,drosophila,178770542,2,2,6087,11826.0,6435.0,5813.81 MB,12699 MB
13,drosophila,178770542,3,2,5306,10214.0,5704.0,6358.84 MB,12835 MB
19,drosophila,178770542,4,2,5065,9768.0,5427.0,6027.00 MB,12862 MB
25,drosophila,178770542,5,2,4928,9474.0,5310.0,6120.95 MB,12713 MB
31,drosophila,178770542,6,2,5112,9812.0,5524.0,5760.51 MB,12835 MB
37,drosophila,178770542,7,2,5091,9816.0,5457.0,5977.62 MB,12801 MB
43,drosophila,178770542,8,2,5198,10021.0,5573.0,5945.91 MB,12793 MB
49,drosophila,178770542,9,2,4993,9607.0,5372.0,5987.50 MB,12657 MB
55,drosophila,178770542,10,2,16577,33104.0,16627.0,6975.85 MB,13766 MB
2,drosophila,178770542,1,4,3278,11722.0,4668.0,10822.62 MB,25258 MB
8,drosophila,178770542,2,4,3398,12273.0,4717.0,10963.46 MB,25214 MB
14,drosophila,178770542,3,4,3274,11801.0,4569.0,10601.63 MB,25296 MB
20,drosophila,178770542,4,4,2720,9749.0,3851.0,10845.27 MB,25311 MB
26,drosophila,178770542,5,4,2709,9731.0,3814.0,10935.29 MB,25212 MB
32,drosophila,178770542,6,4,2679,9570.0,3825.0,10579.61 MB,25199 MB
38,drosophila,178770542,7,4,4071,11961.0,8394.0,9795.19 MB,24508 MB
44,drosophila,178770542,8,4,3174,10180.0,5690.0,11180.22 MB,24246 MB
50,drosophila,178770542,9,4,6716,23231.0,10349.0,12819.52 MB,24092 MB
56,drosophila,178770542,10,4,6920,25114.0,9486.0,12340.46 MB,25843 MB
3,drosophila,178770542,1,8,1893,11939.0,5098.0,19550.48 MB,48872 MB
9,drosophila,178770542,2,8,2270,11975.0,8455.0,15845.66 MB,49042 MB
15,drosophila,178770542,3,8,2568,11897.0,11215.0,19850.80 MB,45049 MB
21,drosophila,178770542,4,8,1504,9501.0,4035.0,18439.87 MB,49673 MB
27,drosophila,178770542,5,8,2668,11688.0,12324.0,16814.14 MB,46767 MB
33,drosophila,178770542,6,8,1673,9853.0,5204.0,18604.13 MB,49542 MB
39,drosophila,178770542,7,8,1526,9631.51,4102.49,19996.18 MB,49720 MB
45,drosophila,178770542,8,8,1617,10211.0,4342.0,19449.13 MB,47794 MB
51,drosophila,178770542,9,8,4525,29999.0,10726.0,22360.86 MB,50485 MB
57,drosophila,178770542,10,8,1561,9879.0,4170.0,19425.01 MB,49811 MB
4,drosophila,178770542,1,16,1160,11910.07,7809.93,29751.01 MB,96942 MB
10,drosophila,178770542,2,16,1166,11814.0,8008.0,31480.71 MB,96769 MB
16,drosophila,178770542,3,16,1150,11933.01,7616.99,28592.87 MB,95409 MB
22,drosophila,178770542,4,16,1300,12460.0,9640.0,35324.95 MB,86641 MB
28,drosophila,178770542,5,16,1156,11939.0,7713.0,30911.11 MB,89323 MB
34,drosophila,178770542,6,16,953,9807.59,6393.41,30958.72 MB,98278 MB
40,drosophila,178770542,7,16,974,9792.0,6766.0,33363.23 MB,99333 MB
46,drosophila,178770542,8,16,938,9638.09,6307.91,29114.70 MB,99217 MB
52,drosophila,178770542,9,16,999,9766.0,7217.0,28859.58 MB,99128 MB
58,drosophila,178770542,10,16,979,9635.0,7008.0,29207.17 MB,98783 MB
0,drosophila,178770542,1,24,730,12626.91,5623.09,51012.27 MB,119067 MB
1,drosophila,178770542,2,24,1634,27759.0,13091.0,57317.36 MB,135300 MB
2,drosophila,178770542,3,24,590,9830.0,4920.0,43573.12 MB,113240 MB
3,drosophila,178770542,4,24,604,9790.0,5310.0,44267.29 MB,116924 MB
4,drosophila,178770542,5,24,1766,30409.0,13741.0,63153.15 MB,126435 MB
5,drosophila,178770542,6,24,744,12551.0,6049.0,54686.46 MB,122874 MB
6,drosophila,178770542,7,24,548,9517.48,4182.52,56805.52 MB,117454 MB
7,drosophila,178770542,8,24,577,9767.19,4657.81,53204.27 MB,110836 MB
8,drosophila,178770542,9,24,542,9513.37,4036.6299999999987,61669.21 MB,123440 MB
9,drosophila,178770542,10,24,537,9511.0,3914.0,54822.61 MB,115778 MB
0,elegans,111913131,1,1,4416,5498.0,3334.0,1735.48 MB,4475 MB
6,elegans,111913131,2,1,15745,16385.0,15105.0,2031.49 MB,5197 MB
12,elegans,111913131,3,1,14194,14810.0,13578.0,2079.02 MB,5240 MB
18,elegans,111913131,4,1,5356,5351.0,5361.0,1810.43 MB,4578 MB
24,elegans,111913131,5,1,6482,6600.0,6364.0,2034.65 MB,4454 MB
30,elegans,111913131,6,1,15091,18063.0,12119.0,1898.50 MB,5073 MB
36,elegans,111913131,7,1,13735,14268.0,13202.0,2174.29 MB,5327 MB
42,elegans,111913131,8,1,11646,12111.0,11181.0,2078.30 MB,5416 MB
48,elegans,111913131,9,1,10992,13982.0,8002.0,2015.86 MB,5152 MB
54,elegans,111913131,10,1,14000,14569.0,13431.0,2057.94 MB,5151 MB
